,URLs,page_titles
0,https://coincodex.com/article/51/5-biggest-crypto-hacks-of-all-time/,5 biggest crypto hacks of all time | CoinCodex
1,http://money.cnn.com/2018/06/13/investing/bitcoin-cryptocurrency-hacks-security/index.html,Cryptocurrency hacks: Is investing in bitcoin safe? 
2,https://blockgeeks.com/guides/cryptocurrency-hacks/,5 High Profile Cryptocurrency Hacks - (Updated) - Blockgeeks
3,https://futurism.com/cryptocurrency-hacks-shaking-investors-faith-coinrail/,
4,https://valuewalk.com/2018/05/btc-biggest-hacks-coincheck/,
5,https://newsbtc.com/2018/04/04/670-million-worth-of-hacks-and-scams-in-2018-says-crypto-aware/,Crypto Aware: $670 Million in Crypto Hacks and Scams in 2018 | NewsBTC
6,https://hackernoon.com/high-profile-cryptocurrency-hacks-79d4f3cf1f36,High Profile Cryptocurrency Hacks – Hacker Noon
7,https://bitcoinexchangeguide.com/top-cryptocurrency-theft-hacks/,Attention Required! | Cloudflare
8,https://marketwatch.com/story/here-are-the-biggest-hacks-and-scams-in-cryptocurrency-history-2018-05-24,Here are the biggest hacks and scams in cryptocurrency history - MarketWatch
9,https://theguardian.com/technology/2018/jun/11/bitcoin-price-cryptocurrency-hacked-south-korea-coincheck,Bitcoin price plunges after cryptocurrency exchange is hacked | Technology | The Guardian
10,https://mashable.com/2018/04/05/verge-crypto-hack/,"Verge cryptocurrency hack shows, no, blockchain isn't invincible"
11,https://cryptoslate.com/cryptocurrency-trading-app-taylor-loses-2500-eth-in-1-5m-hack/,Attention Required! | Cloudflare
12,https://bloomberg.com/news/articles/2018-06-10/bitcoin-tumbles-most-in-two-weeks-amid-south-korea-exchange-hack,Cryptocurrencies Lose $42 Billion After South Korean Bourse Hack - Bloomberg
13,https://theverge.com/2018/4/17/17247628/bitcoin-cryptocurrency-hackers-youtube-theft-robbed,
14,https://cso.com.au/article/635648/7-biggest-recent-hacks-crypto-exchanges/,7 of the Biggest Recent Hacks on Crypto Exchanges - CSO | The Resource for Data Security Executives
15,https://finder.com/673-million-stolen-in-crypto-hacks-in-2018,$673 million stolen in crypto hacks in 2018 | finder.com
16,https://cryptocurrencynews.com/daily-news/altcoins/ripple-xrp-nem-xem-largest-crypto-hack-ever/,
17,https://99bitcoins.com/top-5-cryptocurrency-hacks-of-all-time/,Top 5 Cryptocurrency Hacks of All Time
18,https://ccn.com/ico-scams-antsy-enterprises-and-massive-hacks-this-week-in-crypto/,"ICO Scams, Antsy Enterprises and Massive Hacks: This Week in Crypto"
19,https://cryptoiscoming.com/all-major-crypto-hacks-visualized-graphic/,All major crypto hacks visualized (graphic) – Crypto is Coming
20,https://independent.co.uk/life-style/gadgets-and-tech/news/cryptocurrency-heist-hackers-bitcoin-gold-attack-a8374016.html,Cryptocurrency heist worth $20m sees hackers exploit worrying new trend | The Independent
21,https://medium.com/@QUOINE/timeline-of-significant-crypto-exchange-hacks-621f4993b625,Timeline of significant crypto exchange hacks – QUOINE – Medium
22,https://techcrunch.com/2018/06/10/korean-crypto-exchange-coinrail-loses-over-40m-in-tokens-following-a-hack/,Korean crypto exchange Coinrail loses over $40M in tokens following a hack | TechCrunch
23,https://hacked.com/,"Hacked: Analysis of Bitcoin, Ethereum, ICOs and Cryptocurrencies"
24,https://arstechnica.com/information-technology/2018/04/new-hacks-siphon-private-cryptocurrency-keys-from-airgapped-wallets/,New hacks siphon private cryptocurrency keys from airgapped wallets | Ars Technica
25,https://ethereumworldnews.com/crypto-community-trembles-over-repeated-verge-xvg-hack/,Crypto Community Trembles Over Repeated Verge (XVG) Hack - Ethereum World News
26,https://zdnet.com/article/south-korean-cryptocurrency-exchange-hack-sees-40m-in-altcoin-stolen/,
27,https://bbc.com/news/technology-43489404,Teenager hacks crypto-currency wallet - BBC News
28,https://qz.com/1301699/bitcoin-crashed-after-south-korean-exchange-coinrail-was-hacked/,Bitcoin crashed after South Korean exchange Coinrail was hacked — Quartz
29,https://bitcoinmagazine.com/articles/south-korean-exchange-coinrail-hacked-40-million-crypto-reported-stolen/,"South Korean Exchange Coinrail Hacked, $40 Million in Crypto Reported ..."
30,https://bitcoinmagazine.com/articles/verge-cryptocurrency-suffers-its-second-hack-less-two-months/,Verge Cryptocurrency Suffers Its Second Hack in Less Than Two Months - ...
31,https://thenextweb.com/hardfork/2018/04/16/crypto-youtuber-hacked-out-of-2-million-during-a-livestream/,Crypto YouTuber hacked out of $2 million during a livestream
32,https://youtube.com/channel/UCJCHQD1qktV-8z-uYTc7p3w,Martins Hacks - YouTube
33,http://wired.co.uk/article/coinrail-hacked-bitcoin-exchange-price,"Another week, another bitcoin hack, another huge price drop | WIRED UK"
34,https://investopedia.com/news/hackers-have-stolen-11b-crypto-year/,Hackers Have Stolen $1.1B in Crypto This Year  | Investopedia
35,https://fool.com/investing/2018/05/09/the-biggest-cryptocurrency-hacks-in-history.aspx,The Biggest Cryptocurrency Hacks in History -- The Motley Fool
36,https://cryptoaware.org/resources/notable-cryptocurrency-hacks/,cryptoaware.org
37,https://bleepingcomputer.com/news/security/hacker-steals-135-million-from-cryptocurrency-trading-app-taylor/,Hacker Steals $1.35 Million From Cryptocurrency Trading App Taylor
38,https://blog.newskysecurity.com/cryptocurrency-mining-hacks-how-thefts-steal-bitcoin-and-ethereum-903b215dbbba,Cryptocurrency Mining Hacks: How Thefts Steal Bitcoin and Ethereum
